id,date_start,latitude,longitude,best
200660,1995-06-16,43.85,18.383333,20
200068,1995-06-18,43.666944,18.976389,1
200252,1995-06-18,43.94,17.755833,0
200558,1995-06-18,43.85,18.383333,1
200173,1995-06-19,43.826944,17.007778,1
200253,1995-06-19,43.94,17.755833,0
200553,1995-06-19,43.85,18.383333,2
200559,1995-06-19,43.85,18.383333,2
199440,1995-06-23,44.816944,15.870833,3
199577,1995-06-23,44.816944,15.870833,0
199147,1995-06-27,43.85,18.383333,1
200567,1995-06-27,43.85,18.383333,4
200638,1995-06-27,43.85,18.383333,1
199555,1995-06-29,43.85,18.383333,2
200564,1995-06-29,43.85,18.383333,2
200600,1995-07-01,43.85,18.383333,0
200578,1995-07-03,43.85,18.383333,2
200580,1995-07-04,43.85,18.383333,0
200581,1995-07-04,43.85,18.383333,0
200730,1995-07-06,44.106389,19.296944,1
199479,1995-07-13,43.666944,18.976389,0
199558,1995-07-15,43.85,18.383333,0
199808,1995-07-15,44.816944,15.870833,2
200812,1995-07-18,44.542778,18.669444,1
200595,1995-07-19,43.85,18.383333,1
200596,1995-07-19,43.85,18.383333,3
199467,1995-07-22,43.85,18.383333,4
199853,1995-07-22,43.833056,18.303889,1
199966,1995-07-23,44.143611,17.4,0
200072,1995-07-27,43.666944,18.976389,1
199979,1995-07-29,43.85,18.383333,2
200042,1995-08-03,43.85,18.383333,2
200232,1995-08-04,43.343333,17.808056,2
199724,1995-08-07,44.546111,16.613611,5
199152,1995-08-13,44.542778,18.669444,1
200602,1995-08-13,43.85,18.383333,2
200603,1995-08-14,43.85,18.383333,1
200605,1995-08-15,43.85,18.383333,1
199958,1995-08-18,43.83,18.358611,2
200611,1995-08-31,43.85,18.383333,4
199713,1995-09-12,44.734722,18.087778,1
199094,1995-09-26,43.975,18.520278,0
199705,1995-10-08,44.673056,18.012778,0
200773,1995-10-08,44.673056,18.012778,2
199976,1992-04-27,43.505,18.778611,4
200352,1992-04-27,43.85,18.383333,0
200414,1992-04-28,43.85,18.383333,1
200230,1992-04-29,43.343333,17.808056,3
199356,1992-04-30,43.343333,17.808056,1
200210,1992-04-30,43.343333,17.808056,3
200452,1992-04-30,43.85,18.383333,2
199908,1992-05-01,43.121389,17.684444,2
200858,1992-05-01,44.201389,17.906389,2
199592,1992-05-01,44.872778,18.808333,3000
200369,1992-05-02,43.85,18.383333,13
199920,1992-05-03,43.343333,17.808056,1
200228,1992-05-03,43.343333,17.808056,1
200403,1992-05-03,43.85,18.383333,11
200408,1992-05-04,43.85,18.383333,3
199897,1992-05-04,44.966944,15.943056,0
200407,1992-05-06,43.85,18.383333,3
199882,1992-05-07,44.872778,18.808333,5
