numa,ida,numb,idb,kmdist,midist,capnamea
2,USA,710,CHN,11348.36,7076.06,"Washington, DC"
2,USA,711,TBT,12415.93,7741.65,"Washington, DC"
2,USA,712,MON,10549.45,6578.13,"Washington, DC"
2,USA,713,TAW,12774.48,7964.86,"Washington, DC"
2,USA,730,KOR,11330.18,7063.94,"Washington, DC"
2,USA,731,PRK,11156.46,6955.87,"Washington, DC"
2,USA,732,ROK,11330.18,7063.94,"Washington, DC"
2,USA,740,JPN,11069.6,6902.34,"Washington, DC"
2,USA,750,IND,12227.06,7623.48,"Washington, DC"
2,USA,760,BHU,12676.51,7904.26,"Washington, DC"
2,USA,770,PAK,11545.31,7199.28,"Washington, DC"
2,USA,771,BNG,13130,8187.06,"Washington, DC"
2,USA,775,MYA,13997.59,8727.41,"Washington, DC"
2,USA,780,SRI,14613.69,9112.22,"Washington, DC"
2,USA,790,NEP,12575.51,7841.64,"Washington, DC"
2,USA,781,MAD,14550.06,9072.83,"Washington, DC"
2,USA,800,THI,14369.27,8959.71,"Washington, DC"
2,USA,811,CAM,14598.54,9103.13,"Washington, DC"
2,USA,812,LAO,13924.87,8681.96,"Washington, DC"
2,USA,815,VNM,14622.78,9117.27,"Washington, DC"
2,USA,816,DRV,13480.47,8405.22,"Washington, DC"
2,USA,817,RVN,14622.78,9118.28,"Washington, DC"
2,USA,820,MAL,15503.5,9666.71,"Washington, DC"
2,USA,830,SIN,15727.72,9806.09,"Washington, DC"
2,USA,835,BRU,15190.4,9471.78,"Washington, DC"
2,USA,840,PHI,13972.34,8712.26,"Washington, DC"
2,USA,850,INS,16500.37,10288.87,"Washington, DC"
2,USA,860,ETM,16112.53,10046.47,"Washington, DC"
2,USA,900,AUL,16082.23,10028.29,"Washington, DC"
2,USA,910,PNG,14641.97,9129.39,"Washington, DC"
2,USA,920,NEW,14198.58,8852.65,"Washington, DC"
2,USA,935,VAN,13476.43,8403.2,"Washington, DC"
2,USA,940,SOL,13607.73,8485.01,"Washington, DC"
2,USA,950,FJI,12603.79,7858.81,"Washington, DC"
2,USA,983,MSI,11574.6,7216.45,"Washington, DC"
2,USA,986,PAL,14054.15,8762.76,"Washington, DC"
2,USA,987,FSM,12505.82,7798.21,"Washington, DC"
2,USA,990,WSM,12850.23,8012.33,"Washington, DC"
